CountryName,CountryCode,Year,Crop production index (2004-2006 = 100)
"Korea, Dem. Rep.",PRK,1962,43
"Korea, Rep.",KOR,1962,36.39
Kuwait,KWT,1962,1.56
Kyrgyz Republic,KGZ,1962,64.7
Lao PDR,LAO,1962,17.88
Latvia,LVA,1962,105.8
Lebanon,LBN,1962,33.2
Lesotho,LSO,1962,88.75
Liberia,LBR,1962,47.26
Libya,LBY,1962,16.92
Liechtenstein,LIE,1962,59.76
Lithuania,LTU,1962,81.3
"Macao SAR, China",MAC,1962,36.27
Madagascar,MDG,1962,44.65
Malawi,MWI,1962,23.68
Malaysia,MYS,1962,16.78
Maldives,MDV,1962,55.61
Mali,MLI,1962,24.04
Malta,MLT,1962,55.98
Marshall Islands,MHL,1962,131.7
Mauritania,MRT,1962,45.23
Mauritius,MUS,1962,85.17
Mexico,MEX,1962,30.31
Moldova,MDA,1962,121.7
Mongolia,MNG,1962,102.54
Morocco,MAR,1962,27.85
Mozambique,MOZ,1962,53.65
Myanmar,MMR,1962,23.22
Namibia,NAM,1962,32.03
Nepal,NPL,1962,28.34
Netherlands,NLD,1962,48.43
New Caledonia,NCL,1962,123.01
New Zealand,NZL,1962,21.15
Nicaragua,NIC,1962,44.89
Niger,NER,1962,31.3
Nigeria,NGA,1962,23.03
Norway,NOR,1962,100.7
Oman,OMN,1962,16.79
Pakistan,PAK,1962,22.27
Panama,PAN,1962,66.26
Papua New Guinea,PNG,1962,35.88
Paraguay,PRY,1962,15.64
Peru,PER,1962,35.27
Philippines,PHL,1962,31.73
Poland,POL,1962,87.9
Portugal,PRT,1962,115.82
Puerto Rico,PRI,1962,504.71
Qatar,QAT,1962,11.73
Romania,ROM,1962,56.13
Russian Federation,RUS,1962,100.4
Rwanda,RWA,1962,39.16
Samoa,WSM,1962,107.54
Sao Tome and Principe,STP,1962,84.91
Saudi Arabia,SAU,1962,11.24
Senegal,SEN,1962,74.01
Seychelles,SYC,1962,309.14
Sierra Leone,SLE,1962,35.19
Singapore,SGP,1962,384.09
Solomon Islands,SLB,1962,30.51
Somalia,SOM,1962,58
South Africa,ZAF,1962,40.34
Spain,ESP,1962,46.17
Sri Lanka,LKA,1962,51.57
St. Kitts and Nevis,KNA,1962,274.6
St. Lucia,LCA,1962,271.96
St. Vincent and the Grenadines,VCT,1962,81.35
Sudan,SDN,1962,32.84
Suriname,SUR,1962,44.62
Swaziland,SWZ,1962,20.36
Sweden,SWE,1962,93.04
Switzerland,CHE,1962,122.21
Syrian Arab Republic,SYR,1962,24.81
Tanzania,TZA,1962,27.59
Thailand,THA,1962,22.61
Timor-Leste,TMP,1962,41.07
Togo,TGO,1962,36.56
Tonga,TON,1962,133.76
Trinidad and Tobago,TTO,1962,201.77
Tunisia,TUN,1962,27.56
Turkey,TUR,1962,32.53
Tuvalu,TUV,1962,105.32
Uganda,UGA,1962,36.48
United Arab Emirates,ARE,1962,0.91
United Kingdom,GBR,1962,63.57
United States,USA,1962,43.98
Uruguay,URY,1962,34.09
Vanuatu,VUT,1962,69.67
"Venezuela, RB",VEN,1962,36.47
Vietnam,VNM,1962,21.51
"Yemen, Rep.",YEM,1962,31.68
Zambia,ZMB,1962,27.62
Zimbabwe,ZWE,1962,51.62
Afghanistan,AFG,1963,67.26
Albania,ALB,1963,40.23
Algeria,DZA,1963,54.07
American Samoa,ASM,1963,63.63
Angola,AGO,1963,42.32
Antigua and Barbuda,ATG,1963,252.23
Argentina,ARG,1963,29.11
Armenia,ARM,1963,58.7
Australia,AUS,1963,30.23
Austria,AUT,1963,87.86
Azerbaijan,AZE,1963,78.2
"Bahamas, The",BHS,1963,43.25
Bahrain,BHR,1963,74.28
Bangladesh,BGD,1963,41.89
Barbados,BRB,1963,326.23
Belarus,BLR,1963,102.2
Belize,BLZ,1963,11.69
Benin,BEN,1963,17.81
Bermuda,BMU,1963,85.83
Bhutan,BTN,1963,30.75
Bolivia,BOL,1963,23.74
