CountryName,CountryCode,Year,Food production index (2004-2006 = 100)
Djibouti,DJI,1962,13.78
Dominica,DMA,1962,81.46
Dominican Republic,DOM,1962,46.32
Ecuador,ECU,1962,28.01
"Egypt, Arab Rep.",EGY,1962,20.8
El Salvador,SLV,1962,38.46
Equatorial Guinea,GNQ,1962,119.93
Estonia,EST,1962,157.7
Faeroe Islands,FRO,1962,15.2
Fiji,FJI,1962,61.23
Finland,FIN,1962,87.28
France,FRA,1962,77.24
French Polynesia,PYF,1962,122.05
Gabon,GAB,1962,46.91
"Gambia, The",GMB,1962,67.06
Georgia,GEO,1962,106.3
Germany,DEU,1962,74.68
Ghana,GHA,1962,27.82
Greece,GRC,1962,45.72
Greenland,GRL,1962,55.98
Grenada,GRD,1962,125.94
Guam,GUM,1962,35.6
Guatemala,GTM,1962,19.23
Guinea,GIN,1962,36.89
Guinea-Bissau,GNB,1962,40.45
Guyana,GUY,1962,69.02
Haiti,HTI,1962,65.42
Honduras,HND,1962,30.38
"Hong Kong SAR, China",HKG,1962,164.05
Hungary,HUN,1962,68.58
Iceland,ISL,1962,92.39
India,IND,1962,31.74
Indonesia,IDN,1962,21.66
"Iran, Islamic Rep.",IRN,1962,15.14
Iraq,IRQ,1962,51.79
Ireland,IRL,1962,47.6
Israel,ISR,1962,25.84
Italy,ITA,1962,73.95
Jamaica,JAM,1962,70.31
Japan,JPN,1962,72.19
Jordan,JOR,1962,28.8
Kazakhstan,KAZ,1962,142.5
Kenya,KEN,1962,24.43
Kiribati,KIR,1962,42.14
"Korea, Dem. Rep.",PRK,1962,36.44
"Korea, Rep.",KOR,1962,23.22
Kuwait,KWT,1962,8.86
Kyrgyz Republic,KGZ,1962,77.6
Lao PDR,LAO,1962,17.38
Latvia,LVA,1962,193.9
Lebanon,LBN,1962,29.28
Lesotho,LSO,1962,67.39
Liberia,LBR,1962,46.6
Libya,LBY,1962,15.58
Liechtenstein,LIE,1962,43.58
Lithuania,LTU,1962,130.5
"Macao SAR, China",MAC,1962,40
Madagascar,MDG,1962,46.97
Malawi,MWI,1962,24.26
Malaysia,MYS,1962,8.91
Maldives,MDV,1962,55.38
Mali,MLI,1962,30.02
Malta,MLT,1962,43.42
Marshall Islands,MHL,1962,131.7
Mauritania,MRT,1962,54.85
Mauritius,MUS,1962,68.13
Mexico,MEX,1962,25.34
Moldova,MDA,1962,139.5
Mongolia,MNG,1962,97.27
Morocco,MAR,1962,27.11
Mozambique,MOZ,1962,51.12
Myanmar,MMR,1962,23.79
Namibia,NAM,1962,56.77
Nepal,NPL,1962,28.66
Netherlands,NLD,1962,47.02
New Caledonia,NCL,1962,78.88
New Zealand,NZL,1962,42.44
Nicaragua,NIC,1962,31.74
Niger,NER,1962,28.79
Nigeria,NGA,1962,23.29
Norway,NOR,1962,83.06
Oman,OMN,1962,11.38
Pakistan,PAK,1962,21.54
Panama,PAN,1962,43.14
Papua New Guinea,PNG,1962,36.41
Paraguay,PRY,1962,20.94
Peru,PER,1962,30.52
Philippines,PHL,1962,27.95
Poland,POL,1962,71.49
Portugal,PRT,1962,78.11
Puerto Rico,PRI,1962,182.01
Qatar,QAT,1962,12.27
Romania,ROM,1962,59.27
Russian Federation,RUS,1962,119.2
Rwanda,RWA,1962,37.41
Samoa,WSM,1962,90.34
Sao Tome and Principe,STP,1962,80.46
Saudi Arabia,SAU,1962,9.42
Senegal,SEN,1962,64.43
Seychelles,SYC,1962,142.65
Sierra Leone,SLE,1962,36.61
Singapore,SGP,1962,423.23
