CountryName,CountryCode,Year,CO2 emissions (kt)
St. Lucia,LCA,1961,18.335
St. Vincent and the Grenadines,VCT,1961,11.001
Sudan,SDN,1961,1386.126
Suriname,SUR,1961,429.039
Swaziland,SWZ,1961,3.667
Sweden,SWE,1961,48851.774
Switzerland,CHE,1961,20388.52
Syrian Arab Republic,SYR,1961,3065.612
Tanzania,TZA,1961,704.064
Thailand,THA,1961,4147.377
Togo,TGO,1961,91.675
Tonga,TON,1961,11.001
Trinidad and Tobago,TTO,1961,4602.085
Tunisia,TUN,1961,1767.494
Turkey,TUR,1961,17363.245
Uganda,UGA,1961,407.037
United Arab Emirates,ARE,1961,11.001
United Kingdom,GBR,1961,588938.535
United States,USA,1961,2880505.507
Uruguay,URY,1961,4121.708
"Venezuela, RB",VEN,1961,51928.387
Vietnam,VNM,1961,7986.726
"Yemen, Rep.",YEM,1961,2665.909
Afghanistan,AFG,1962,689.396
Albania,ALB,1962,2464.224
Algeria,DZA,1962,5669.182
Angola,AGO,1962,1180.774
Antigua and Barbuda,ATG,1962,102.676
Argentina,ARG,1962,53695.881
Australia,AUS,1962,94912.961
Austria,AUT,1962,33905.082
"Bahamas, The",BHS,1962,726.066
Bahrain,BHR,1962,1591.478
Barbados,BRB,1962,260.357
Belgium,BEL,1962,98117.919
Belize,BLZ,1962,69.673
Benin,BEN,1962,135.679
Bermuda,BMU,1962,157.681
Bolivia,BOL,1962,1100.1
Brazil,BRA,1962,53695.881
Brunei Darussalam,BRN,1962,370.367
Bulgaria,BGR,1962,30736.794
Burkina Faso,BFA,1962,84.341
Burundi,BDI,1962,44.004
Cabo Verde,CPV,1962,18.335
Cambodia,KHM,1962,308.028
Cameroon,CMR,1962,289.693
Canada,CAN,1962,207185.5
Cayman Islands,CYM,1962,11.001
Chad,TCD,1962,84.341
Chile,CHL,1962,16725.187
China,CHN,1962,440359.029
Colombia,COL,1962,19442.434
Comoros,COM,1962,11.001
"Congo, Dem. Rep.",ZAR,1962,2174.531
"Congo, Rep.",COG,1962,238.355
Costa Rica,CRI,1962,550.05
Cote d'Ivoire,CIV,1962,586.72
Cuba,CUB,1962,14169.288
Cyprus,CYP,1962,905.749
Denmark,DNK,1962,36926.69
Djibouti,DJI,1962,47.671
Dominica,DMA,1962,11.001
Dominican Republic,DOM,1962,1243.113
Ecuador,ECU,1962,1565.809
"Egypt, Arab Rep.",EGY,1962,18595.357
El Salvador,SLV,1962,649.059
Equatorial Guinea,GNQ,1962,22.002
Ethiopia,ETH,1962,396.036
Faeroe Islands,FRO,1962,117.344
Fiji,FJI,1962,231.021
Finland,FIN,1962,16809.528
France,FRA,1962,298706.486
French Polynesia,PYF,1962,47.671
Gabon,GAB,1962,88.008
"Gambia, The",GMB,1962,25.669
Ghana,GHA,1962,1433.797
Greece,GRC,1962,10164.924
Greenland,GRL,1962,264.024
Grenada,GRD,1962,25.669
Guatemala,GTM,1962,1382.459
Guinea,GIN,1962,660.06
Guinea-Bissau,GNB,1962,40.337
Guyana,GUY,1962,678.395
Haiti,HTI,1962,304.361
Honduras,HND,1962,700.397
"Hong Kong SAR, China",HKG,1962,3685.335
Hungary,HUN,1962,50560.596
Iceland,ISL,1962,1199.109
India,IND,1962,143467.708
Indonesia,IDN,1962,22995.757
"Iran, Islamic Rep.",IRN,1962,37462.072
Iraq,IRQ,1962,9031.821
Ireland,IRL,1962,13120.526
Israel,ISR,1962,7942.722
Italy,ITA,1962,146456.313
Jamaica,JAM,1962,2119.526
Japan,JPN,1962,293220.654
Jordan,JOR,1962,1048.762
Kenya,KEN,1962,2625.572
Kiribati,KIR,1962,11.001
"Korea, Rep.",KOR,1962,17278.904
Kuwait,KWT,1962,14290.299
Lao PDR,LAO,1962,132.012
Lebanon,LBN,1962,2856.593
Liberia,LBR,1962,253.023
Libya,LBY,1962,1048.762
Luxembourg,LUX,1962,11551.05
"Macao SAR, China",MAC,1962,95.342
Madagascar,MDG,1962,396.036
Mali,MLI,1962,139.346
Malta,MLT,1962,330.03
Mauritania,MRT,1962,62.339
Mauritius,MUS,1962,253.023
Mexico,MEX,1962,63809.467
Mongolia,MNG,1962,1972.846
Morocco,MAR,1962,3080.28
Mozambique,MOZ,1962,1987.514
Myanmar,MMR,1962,2882.262
Nepal,NPL,1962,88.008
Netherlands,NLD,1962,83358.244
New Caledonia,NCL,1962,564.718
New Zealand,NZL,1962,11210.019
Nicaragua,NIC,1962,660.06
Niger,NER,1962,66.006
Nigeria,NGA,1962,4180.38
Norway,NOR,1962,14077.613
Pakistan,PAK,1962,16105.464
Palau,PLW,1962,51.338
Panama,PAN,1962,1191.775
Papua New Guinea,PNG,1962,198.018
Paraguay,PRY,1962,392.369
