CountryName,CountryCode,Year,HarvestingLand
Turks and Caicos Islands,TCA,1961,1.052631579
Tuvalu,TUV,1961,66.66666667
Uganda,UGA,1961,45.13287623
United Arab Emirates,ARE,1961,2.488038278
United Kingdom,GBR,1961,81.84185508
United States,USA,1961,48.86024177
Uruguay,URY,1961,93.44074963
Vanuatu,VUT,1961,8.613617719
"Venezuela, RB",VEN,1961,21.80375262
Vietnam,VNM,1961,19.33085502
Virgin Islands (U.S.),VIR,1961,34.28571429
West Bank and Gaza,WBG,1961,60.79734219
"Yemen, Rep.",YEM,1961,44.20137508
Zambia,ZMB,1961,25.97156271
Zimbabwe,ZWE,1961,28.39601913
Arab World,ARB,1962,30.94414568
Caribbean small states,CSS,1962,5.526185771
Central Europe and the Baltics,CEB,1962,64.62537977
East Asia & Pacific (all income levels),EAS,1962,43.55408502
East Asia & Pacific (developing only),EAP,1962,35.9613174
Euro area,EMU,1962,56.29647116
European Union,EUU,1962,54.76794283
Fragile and conflict affected situations,FCS,1962,31.29141978
Heavily indebted poor countries (HIPC),HPC,1962,35.43778245
High income,HIC,1962,38.52094004
High income: OECD,OEC,1962,38.54724684
Latin America & Caribbean (all income levels),LCN,1962,28.23940472
Latin America & Caribbean (developing only),LAC,1962,24.53620733
Least developed countries: UN classification,LDC,1962,36.22060615
Low & middle income,LMY,1962,34.80560623
Low income,LIC,1962,34.46705449
Lower middle income,LMC,1962,37.23250453
Middle East & North Africa (all income levels),MEA,1962,25.70853769
Middle East & North Africa (developing only),MNA,1962,23.22840612
Middle income,MIC,1962,34.88609236
North America,NAC,1962,28.15744347
OECD members,OED,1962,39.43268389
Other small states,OSS,1962,42.19231727
Pacific island small states,PSS,1962,8.16359007
Small states,SST,1962,34.88432144
South Asia,SAS,1962,55.48039021
Sub-Saharan Africa (all income levels),SSF,1962,40.0036565
Sub-Saharan Africa (developing only),SSA,1962,40.03826928
Upper middle income,UMC,1962,33.70039914
World,WLD,1962,36.1237699
Afghanistan,AFG,1962,57.83782128
Albania,ALB,1962,44.96350365
Algeria,DZA,1962,18.85176384
American Samoa,ASM,1962,15
Andorra,ADO,1962,55.31914894
Angola,AGO,1962,45.88112617
Antigua and Barbuda,ATG,1962,20.45454545
Argentina,ARG,1962,49.85365533
Aruba,ABW,1962,11.11111111
Australia,AUS,1962,60.35796571
Austria,AUT,1962,48.93436667
"Bahamas, The",BHS,1962,0.999000999
Bahrain,BHR,1962,10.14492754
Bangladesh,BGD,1962,72.80479373
Barbados,BRB,1962,44.18604651
Belize,BLZ,1962,3.463393249
Benin,BEN,1962,12.96559063
Bermuda,BMU,1962,6
Bhutan,BTN,1962,7.769192903
Bolivia,BOL,1962,27.63961968
Botswana,BWA,1962,45.87722549
Brazil,BRA,1962,18.65403068
Brunei Darussalam,BRN,1962,3.984819734
Bulgaria,BGR,1962,51.38750791
Burkina Faso,BFA,1962,29.78435673
Burundi,BDI,1962,61.91588785
Cabo Verde,CPV,1962,16.12903226
Cambodia,KHM,1962,20.01472921
Cameroon,CMR,1962,16.01404667
Canada,CAN,1962,7.692629139
Cayman Islands,CYM,1962,11.25
Central African Republic,CAF,1962,7.62143247
Chad,TCD,1962,38.01587302
Channel Islands,CHI,1962,46.39175258
Chile,CHL,1962,18.23189856
China,CHN,1962,36.75871435
Colombia,COL,1962,36.9283461
Comoros,COM,1962,51.04782375
"Congo, Dem. Rep.",ZAR,1962,11.05842394
"Congo, Rep.",COG,1962,30.86383602
Costa Rica,CRI,1962,27.61457109
Cote d'Ivoire,CIV,1962,49.93710692
Cuba,CUB,1962,35.4283054
Cyprus,CYP,1962,43.50649351
Denmark,DNK,1962,74.13264102
Djibouti,DJI,1962,56.12597066
Dominica,DMA,1962,24
Dominican Republic,DOM,1962,45.63327815
Ecuador,ECU,1962,17.01343736
"Egypt, Arab Rep.",EGY,1962,2.516449847
El Salvador,SLV,1962,60.04796163
Equatorial Guinea,GNQ,1962,11.37254902
Ethiopia,ETH,1962,52.90554042
Faeroe Islands,FRO,1962,2.148997135
Fiji,FJI,1962,12.42474001
Finland,FIN,1962,9.143767031
France,FRA,1962,62.89652754
French Polynesia,PYF,1962,12.02185792
Gabon,GAB,1962,20.21966081
"Gambia, The",GMB,1962,51.87747036
Germany,DEU,1962,55.54664452
Ghana,GHA,1962,51.41953063
Greece,GRC,1962,69.06128782
Greenland,GRL,1962,0.687737782
Grenada,GRD,1962,64.70588235
Guam,GUM,1962,29.62962963
Guatemala,GTM,1962,24.80403135
Guinea,GIN,1962,59.49454664
Guinea-Bissau,GNB,1962,48.29302987
Guyana,GUY,1962,6.908647247
Haiti,HTI,1962,60.41364296
Honduras,HND,1962,26.72267405
"Hong Kong SAR, China",HKG,1962,13.7254902
Hungary,HUN,1962,77.89380138
Iceland,ISL,1962,21.14713217
India,IND,1962,59.35779415
Indonesia,IDN,1962,21.30748467
"Iran, Islamic Rep.",IRN,1962,36.40661939
Iraq,IRQ,1962,20.24601596
Ireland,IRL,1962,81.97125853
Isle of Man,IMY,1962,57.01754386
Israel,ISR,1962,23.33641405
Italy,ITA,1962,70.21862568
Jamaica,JAM,1962,49.39981533
Japan,JPN,1962,19.41641669
Jordan,JOR,1962,12.30734361
Kenya,KEN,1962,44.28611589
Kiribati,KIR,1962,48.14814815
"Korea, Dem. Rep.",PRK,1962,19.76580018
"Korea, Rep.",KOR,1962,21.57370931
Kuwait,KWT,1962,7.575757576
Lao PDR,LAO,1962,6.715771231
Lebanon,LBN,1962,55.71847507
Lesotho,LSO,1962,84.84848485
Liberia,LBR,1962,26.79609635
Libya,LBY,1962,6.469304477
Liechtenstein,LIE,1962,56.25
Madagascar,MDG,1962,60.47735323
Malawi,MWI,1962,35.00212134
Malaysia,MYS,1962,9.70263278
Maldives,MDV,1962,16.66666667
Mali,MLI,1962,25.98201919
Malta,MLT,1962,53.125
Mauritania,MRT,1962,38.3448142
Mauritius,MUS,1962,49.26108374
Mexico,MEX,1962,50.50489982
Mongolia,MNG,1962,90.55524087
Morocco,MAR,1962,52.82968141
Mozambique,MOZ,1962,59.33518146
Myanmar,MMR,1962,16.02044251
Namibia,NAM,1962,46.93607356
Nepal,NPL,1962,24.84615385
Netherlands,NLD,1962,68.21682464
New Caledonia,NCL,1962,14.27789934
New Zealand,NZL,1962,60.2217918
Nicaragua,NIC,1962,28.50257603
Niger,NER,1962,24.86776664
Nigeria,NGA,1962,59.18069326
Norway,NOR,1962,2.822762803
Oman,OMN,1962,3.344103393
Pakistan,PAK,1962,46.49232046
Panama,PAN,1962,21.98009147
Papua New Guinea,PNG,1962,1.093053041
Paraguay,PRY,1962,26.48376542
Peru,PER,1962,13.35859375
Philippines,PHL,1962,26.12485751
Poland,POL,1962,66.15299226
Portugal,PRT,1962,42.41530055
Puerto Rico,PRI,1962,67.75648253
Qatar,QAT,1962,4.392764858
Romania,ROM,1962,63.76660589
Rwanda,RWA,1962,53.70895825
Samoa,WSM,1962,20.14134276
San Marino,SMR,1962,16.66666667
Sao Tome and Principe,STP,1962,36.45833333
Saudi Arabia,SAU,1962,40.09415311
Senegal,SEN,1962,44.91248117
Seychelles,SYC,1962,10.86956522
Sierra Leone,SLE,1962,36.25658077
Singapore,SGP,1962,20.89552239
Solomon Islands,SLB,1962,1.964987496
Somalia,SOM,1962,69.99394268
South Africa,ZAF,1962,82.54540059
Spain,ESP,1962,66.49325703
Sri Lanka,LKA,1962,27.22053899
St. Kitts and Nevis,KNA,1962,57.14285714
St. Lucia,LCA,1962,27.86885246
St. Vincent and the Grenadines,VCT,1962,25.64102564
Sudan,SDN,1962,45.85016835
Suriname,SUR,1962,0.269230769
Swaziland,SWZ,1962,85.93023256
Sweden,SWE,1962,10.16717844
Switzerland,CHE,1962,43.85245902
Syrian Arab Republic,SYR,1962,81.4560888
Tanzania,TZA,1962,29.35199819
Thailand,THA,1962,23.44927479
Timor-Leste,TMP,1962,15.46738399
Togo,TGO,1962,56.4441993
Tonga,TON,1962,38.88888889
Trinidad and Tobago,TTO,1962,18.90838207
Tunisia,TUN,1962,55.52909372
Turkey,TUR,1962,47.61768642
Turks and Caicos Islands,TCA,1962,1.052631579
Tuvalu,TUV,1962,66.66666667
Uganda,UGA,1962,45.61333267
United Arab Emirates,ARE,1962,2.488038278
United Kingdom,GBR,1962,81.75505311
United States,USA,1962,48.47613703
Uruguay,URY,1962,92.84081819
Vanuatu,VUT,1962,8.613617719
"Venezuela, RB",VEN,1962,21.8831132
Vietnam,VNM,1962,19.34621647
Virgin Islands (U.S.),VIR,1962,34.28571429
West Bank and Gaza,WBG,1962,60.79734219
"Yemen, Rep.",YEM,1962,44.2222096
Zambia,ZMB,1962,26.04285772
Zimbabwe,ZWE,1962,28.61574254
Arab World,ARB,1963,30.96711979
Caribbean small states,CSS,1963,5.533596838
Central Europe and the Baltics,CEB,1963,64.54041151
East Asia & Pacific (all income levels),EAS,1963,43.80956986
East Asia & Pacific (developing only),EAP,1963,36.18063346
Euro area,EMU,1963,56.21075803
European Union,EUU,1963,54.62606213
Fragile and conflict affected situations,FCS,1963,31.3416612
Heavily indebted poor countries (HIPC),HPC,1963,35.5241426
High income,HIC,1963,38.47754493
High income: OECD,OEC,1963,38.54396311
Latin America & Caribbean (all income levels),LCN,1963,28.50292407
Latin America & Caribbean (developing only),LAC,1963,24.96880318
Least developed countries: UN classification,LDC,1963,36.30962548
Low & middle income,LMY,1963,35.00941522
Low income,LIC,1963,34.58713807
Lower middle income,LMC,1963,37.37943155
Middle East & North Africa (all income levels),MEA,1963,25.73371867
Middle East & North Africa (developing only),MNA,1963,23.25675024
Middle income,MIC,1963,35.10980594
North America,NAC,1963,28.02485903
OECD members,OED,1963,39.44876056
Other small states,OSS,1963,42.20147698
Pacific island small states,PSS,1963,8.259070656
Small states,SST,1963,34.89551101
South Asia,SAS,1963,55.50716939
Sub-Saharan Africa (all income levels),SSF,1963,40.12415303
Sub-Saharan Africa (developing only),SSA,1963,40.15869948
Upper middle income,UMC,1963,33.96291464
World,WLD,1963,36.23987353
Afghanistan,AFG,1963,57.91440738
Albania,ALB,1963,45
Algeria,DZA,1963,18.688018
American Samoa,ASM,1963,15
Andorra,ADO,1963,55.31914894
Angola,AGO,1963,45.89716852
Antigua and Barbuda,ATG,1963,22.72727273
Argentina,ARG,1963,49.28398905
Aruba,ABW,1963,11.11111111
Australia,AUS,1963,60.72022702
Austria,AUT,1963,48.31678372
"Bahamas, The",BHS,1963,0.999000999
Bahrain,BHR,1963,10.14492754
Bangladesh,BGD,1963,72.82784052
Barbados,BRB,1963,44.18604651
Belize,BLZ,1963,3.507233669
Benin,BEN,1963,13.1429585
Bermuda,BMU,1963,6
Bhutan,BTN,1963,7.769192903
Bolivia,BOL,1963,27.51500046
Botswana,BWA,1963,45.87722549
Brazil,BRA,1963,19.32379692
Brunei Darussalam,BRN,1963,3.984819734
Bulgaria,BGR,1963,51.45982103
Burkina Faso,BFA,1963,29.82090643
Burundi,BDI,1963,62.46105919
Cabo Verde,CPV,1963,16.12903226
Cambodia,KHM,1963,20.06571493
Cameroon,CMR,1963,16.11981976
Canada,CAN,1963,7.706705112
Cayman Islands,CYM,1963,11.25
Central African Republic,CAF,1963,7.634273973
Chad,TCD,1963,38.01587302
Channel Islands,CHI,1963,46.39175258
Chile,CHL,1963,18.460537
China,CHN,1963,37.0622853
Colombia,COL,1963,37.39792699
Comoros,COM,1963,51.04782375
"Congo, Dem. Rep.",ZAR,1963,11.071657
"Congo, Rep.",COG,1963,30.86969253
Costa Rica,CRI,1963,27.81041911
Cote d'Ivoire,CIV,1963,49.93710692
Cuba,CUB,1963,37.59776536
Cyprus,CYP,1963,43.83116883
Denmark,DNK,1963,72.88175596
Djibouti,DJI,1963,56.12597066
Dominica,DMA,1963,22.66666667
Dominican Republic,DOM,1963,45.94370861
Ecuador,ECU,1963,17.04955931
"Egypt, Arab Rep.",EGY,1963,2.501381285
El Salvador,SLV,1963,60.33573141
Equatorial Guinea,GNQ,1963,11.55080214
Ethiopia,ETH,1963,53.02452316
Faeroe Islands,FRO,1963,2.148997135
Fiji,FJI,1963,12.47947455
Finland,FIN,1963,9.214025411
France,FRA,1963,62.73946885
French Polynesia,PYF,1963,12.02185792
Gabon,GAB,1963,20.2778748
"Gambia, The",GMB,1963,51.97628458
Germany,DEU,1963,55.57242288
Ghana,GHA,1963,51.41953063
Greece,GRC,1963,69.9844841
Greenland,GRL,1963,0.687737782
Grenada,GRD,1963,64.70588235
Guam,GUM,1963,31.48148148
Guatemala,GTM,1963,24.91601344
Guinea,GIN,1963,59.39687449
Guinea-Bissau,GNB,1963,48.29302987
Guyana,GUY,1963,6.908647247
Haiti,HTI,1963,60.59506531
Honduras,HND,1963,26.7673608
"Hong Kong SAR, China",HKG,1963,13.7254902
Hungary,HUN,1963,77.57414195
Iceland,ISL,1963,21.14713217
India,IND,1963,59.24747493
Indonesia,IDN,1963,21.2798843
"Iran, Islamic Rep.",IRN,1963,36.44346198
Iraq,IRQ,1963,20.37176761
Ireland,IRL,1963,82.31964001
Isle of Man,IMY,1963,56.49122807
Israel,ISR,1963,24.1219963
Italy,ITA,1963,69.73581313
Jamaica,JAM,1963,49.39981533
Japan,JPN,1963,19.14371421
Jordan,JOR,1963,12.31867634
Kenya,KEN,1963,44.29490108
Kiribati,KIR,1963,53.08641975
"Korea, Dem. Rep.",PRK,1963,19.76580018
"Korea, Rep.",KOR,1963,21.77068215
Kuwait,KWT,1963,7.575757576
Lao PDR,LAO,1963,6.499133449
Lebanon,LBN,1963,55.71847507
Lesotho,LSO,1963,84.84848485
Liberia,LBR,1963,26.79609635
Libya,LBY,1963,6.58410721
Liechtenstein,LIE,1963,56.25
Madagascar,MDG,1963,60.52034254
Malawi,MWI,1963,35.53245651
Malaysia,MYS,1963,10.08735352
Maldives,MDV,1963,16.66666667
Mali,MLI,1963,25.98611692
Malta,MLT,1963,50
Mauritania,MRT,1963,38.34578442
Mauritius,MUS,1963,49.26108374
Mexico,MEX,1963,50.46889066
Mongolia,MNG,1963,90.55524087
Morocco,MAR,1963,53.43460142
Mozambique,MOZ,1963,59.34789796
Myanmar,MMR,1963,16.07705726
Namibia,NAM,1963,46.93607356
Nepal,NPL,1963,24.91608392
Netherlands,NLD,1963,67.8021327
New Caledonia,NCL,1963,14.27789934
New Zealand,NZL,1963,60.35851278
Nicaragua,NIC,1963,28.81834801
Niger,NER,1963,24.86776664
Nigeria,NGA,1963,61.50500126
Norway,NOR,1963,2.814549138
Oman,OMN,1963,3.344103393
Pakistan,PAK,1963,46.54420922
Panama,PAN,1963,22.11460856
Papua New Guinea,PNG,1963,1.093053041
Paraguay,PRY,1963,26.7807702
Peru,PER,1963,13.6171875
Philippines,PHL,1963,26.39307986
Poland,POL,1963,65.89833165
Portugal,PRT,1963,42.48087432
Puerto Rico,PRI,1963,68.20744081
Qatar,QAT,1963,4.392764858
Romania,ROM,1963,63.92289659
Rwanda,RWA,1963,54.11430888
Samoa,WSM,1963,20.14134276
San Marino,SMR,1963,16.66666667
Sao Tome and Principe,STP,1963,36.45833333
Saudi Arabia,SAU,1963,40.10438714
Senegal,SEN,1963,45.43188075
Seychelles,SYC,1963,10.86956522
Sierra Leone,SLE,1963,36.35356054
Singapore,SGP,1963,19.40298507
Solomon Islands,SLB,1963,1.964987496
Somalia,SOM,1963,70.00191284
South Africa,ZAF,1963,81.60565168
Spain,ESP,1963,66.3031734
Sri Lanka,LKA,1963,32.84962526
St. Kitts and Nevis,KNA,1963,57.14285714
St. Lucia,LCA,1963,29.50819672
St. Vincent and the Grenadines,VCT,1963,28.20512821
Sudan,SDN,1963,45.89225589
Suriname,SUR,1963,0.262820513
Swaziland,SWZ,1963,85.69767442
Sweden,SWE,1963,9.701710776
Switzerland,CHE,1963,43.49322
Syrian Arab Republic,SYR,1963,81.84242029
Tanzania,TZA,1963,30.4809212
Thailand,THA,1963,24.38881168
Timor-Leste,TMP,1963,15.46738399
Togo,TGO,1963,56.4441993
Tonga,TON,1963,40.27777778
Trinidad and Tobago,TTO,1963,19.10331384
Tunisia,TUN,1963,55.39392379
Turkey,TUR,1963,48.55579954
Turks and Caicos Islands,TCA,1963,1.052631579
Tuvalu,TUV,1963,66.66666667
Uganda,UGA,1963,46.33401732
United Arab Emirates,ARE,1963,2.488038278
United Kingdom,GBR,1963,81.62278345
United States,USA,1963,48.1979395
Uruguay,URY,1963,92.22374586
Vanuatu,VUT,1963,8.613617719
"Venezuela, RB",VEN,1963,21.96247378
Vietnam,VNM,1963,19.36157793
Virgin Islands (U.S.),VIR,1963,40
West Bank and Gaza,WBG,1963,60.79734219
"Yemen, Rep.",YEM,1963,44.24493816
Zambia,ZMB,1963,26.10204603
Zimbabwe,ZWE,1963,28.83546594
Arab World,ARB,1964,30.97658835
Caribbean small states,CSS,1964,5.538537549
Central Europe and the Baltics,CEB,1964,64.59195161
East Asia & Pacific (all income levels),EAS,1964,44.0644564
East Asia & Pacific (developing only),EAP,1964,36.40361588
Euro area,EMU,1964,55.93656731
European Union,EUU,1964,54.43739889
Fragile and conflict affected situations,FCS,1964,31.37997379
Heavily indebted poor countries (HIPC),HPC,1964,35.5850908
High income,HIC,1964,38.42914477
High income: OECD,OEC,1964,38.53429827
Latin America & Caribbean (all income levels),LCN,1964,28.74452085
Latin America & Caribbean (developing only),LAC,1964,25.37244323
Least developed countries: UN classification,LDC,1964,36.36603082
Low & middle income,LMY,1964,35.18104329
Low income,LIC,1964,34.65582139
Lower middle income,LMC,1964,37.53649226
Middle East & North Africa (all income levels),MEA,1964,25.74119288
Middle East & North Africa (developing only),MNA,1964,23.26276613
Middle income,MIC,1964,35.30590775
North America,NAC,1964,27.89863537
OECD members,OED,1964,39.43582144
Other small states,OSS,1964,42.21656356
Pacific island small states,PSS,1964,8.259070656
Small states,SST,1964,34.90842204
South Asia,SAS,1964,55.75215703
Sub-Saharan Africa (all income levels),SSF,1964,40.16201198
Sub-Saharan Africa (developing only),SSA,1964,40.19656179
Upper middle income,UMC,1964,34.17874477
World,WLD,1964,36.33343775
Afghanistan,AFG,1964,58.01090586
Albania,ALB,1964,44.89051095
Algeria,DZA,1964,18.54274606
American Samoa,ASM,1964,15
Andorra,ADO,1964,55.31914894
Angola,AGO,1964,45.92123205
Antigua and Barbuda,ATG,1964,20.45454545
Argentina,ARG,1964,48.70738008
Aruba,ABW,1964,11.11111111
Australia,AUS,1964,61.05059683
Austria,AUT,1964,48.24412691
"Bahamas, The",BHS,1964,0.999000999
Bahrain,BHR,1964,10.14492754
Bangladesh,BGD,1964,73.13513098
Barbados,BRB,1964,44.18604651
Belize,BLZ,1964,3.507233669
Benin,BEN,1964,13.32032636
Bermuda,BMU,1964,8
Bhutan,BTN,1964,7.811998373
Bolivia,BOL,1964,27.58054094
Botswana,BWA,1964,45.87722549
Brazil,BRA,1964,19.86578354
Brunei Darussalam,BRN,1964,4.554079696
Bulgaria,BGR,1964,52.17391304
Burkina Faso,BFA,1964,29.85745614
Burundi,BDI,1964,62.5
