CountryName,CountryCode,Year,Arable land (% of land area)
Low & middle income,LMY,1963,9.378060644
Low income,LIC,1963,5.995799244
Lower middle income,LMC,1963,16.72070556
Middle East & North Africa (all income levels),MEA,1963,4.40044347
Middle East & North Africa (developing only),MNA,1963,5.542951744
Middle income,MIC,1963,10.1821483
North America,NAC,1963,12.11768567
OECD members,OED,1963,12.31658017
Other small states,OSS,1963,1.335701208
Pacific island small states,PSS,1963,2.117497214
Small states,SST,1963,1.427117996
South Asia,SAS,1963,43.36239362
Sub-Saharan Africa (all income levels),SSF,1963,5.810898472
Sub-Saharan Africa (developing only),SSA,1963,5.812792042
Upper middle income,UMC,1963,6.878070122
World,WLD,1963,9.837015905
Afghanistan,AFG,1963,11.8708452
Albania,ALB,1963,16.05839416
Algeria,DZA,1963,2.603138882
American Samoa,ASM,1963,5
Andorra,ADO,1963,2.127659574
Angola,AGO,1963,2.181759846
Antigua and Barbuda,ATG,1963,18.18181818
Argentina,ARG,1963,7.1619365
Aruba,ABW,1963,11.11111111
Australia,AUS,1963,4.300014319
Austria,AUT,1963,20.05328167
"Bahamas, The",BHS,1963,0.699300699
Bahrain,BHR,1963,1.449275362
Bangladesh,BGD,1963,66.10586157
Barbados,BRB,1963,37.20930233
Belize,BLZ,1963,1.622095572
Benin,BEN,1963,8.513657325
Bermuda,BMU,1963,6
Bhutan,BTN,1963,2.140273527
Bolivia,BOL,1963,1.203729346
Botswana,BWA,1963,0.70403896
Brazil,BRA,1963,3.110739949
Brunei Darussalam,BRN,1963,0.759013283
Bulgaria,BGR,1963,37.40395914
Burkina Faso,BFA,1963,7.83625731
Burundi,BDI,1963,28.19314642
Cabo Verde,CPV,1963,9.429280397
Cambodia,KHM,1963,16.14547927
Cameroon,CMR,1963,10.78885575
Canada,CAN,1963,4.575131055
Cayman Islands,CYM,1963,0.833333333
Central African Republic,CAF,1963,2.728819545
Chad,TCD,1963,2.299206349
Channel Islands,CHI,1963,20.6185567
Chile,CHL,1963,4.94934986
China,CHN,1963,10.87529625
Colombia,COL,1963,3.199639477
Comoros,COM,1963,34.92745836
"Congo, Dem. Rep.",ZAR,1963,2.823051984
"Congo, Rep.",COG,1963,1.522693997
Costa Rica,CRI,1963,5.581668625
Cote d'Ivoire,CIV,1963,5.283018868
Cuba,CUB,1963,14.82309125
Cyprus,CYP,1963,35.17316017
Denmark,DNK,1963,64.76280387
Djibouti,DJI,1963,0.043140638
Dominica,DMA,1963,10.66666667
Dominican Republic,DOM,1963,15.31456954
Ecuador,ECU,1963,6.176853056
"Egypt, Arab Rep.",EGY,1963,2.424029333
El Salvador,SLV,1963,23.40527578
Equatorial Guinea,GNQ,1963,4.278074866
Ethiopia,ETH,1963,10.5640327
Faeroe Islands,FRO,1963,2.148997135
Fiji,FJI,1963,4.707170224
Finland,FIN,1963,8.849601103
France,FRA,1963,35.52996351
French Polynesia,PYF,1963,0.546448087
Gabon,GAB,1963,0.426902627
"Gambia, The",GMB,1963,12.1541502
Germany,DEU,1963,34.84375448
Ghana,GHA,1963,7.471213853
Greece,GRC,1963,23.71605896
Grenada,GRD,1963,14.70588235
Guam,GUM,1963,3.703703704
Guatemala,GTM,1963,10.26502426
Guinea,GIN,1963,14.22350643
Guinea-Bissau,GNB,1963,8.357041252
Guyana,GUY,1963,1.779268975
Haiti,HTI,1963,32.65602322
Honduras,HND,1963,11.70792743
"Hong Kong SAR, China",HKG,1963,12.74509804
Hungary,HUN,1963,57.70298789
Iceland,ISL,1963,1.197007481
India,IND,1963,52.9633155
Indonesia,IDN,1963,9.936132747
"Iran, Islamic Rep.",IRN,1963,9.210647509
Iraq,IRQ,1963,10.74605025
Ireland,IRL,1963,22.65931195
Isle of Man,IMY,1963,43.33333333
Israel,ISR,1963,14.78743068
Italy,ITA,1963,43.09272041
Jamaica,JAM,1963,15.32779317
Japan,JPN,1963,15.18952822
Jordan,JOR,1963,3.093834995
Kenya,KEN,1963,6.149629265
Kiribati,KIR,1963,2.469135802
"Korea, Dem. Rep.",PRK,1963,17.85565983
"Korea, Rep.",KOR,1963,20.83765291
Kuwait,KWT,1963,0.056116723
Lao PDR,LAO,1963,2.772963605
Lebanon,LBN,1963,17.59530792
Lesotho,LSO,1963,11.62714097
Liberia,LBR,1963,3.903654485
Libya,LBY,1963,0.971844914
Liechtenstein,LIE,1963,25
Madagascar,MDG,1963,3.361763593
Malawi,MWI,1963,15.37971998
Malaysia,MYS,1963,2.554253538
Maldives,MDV,1963,6.666666667
Mali,MLI,1963,1.350609331
Malta,MLT,1963,46.875
Mauritania,MRT,1963,0.259047249
Mauritius,MUS,1963,44.82758621
Mexico,MEX,1963,9.907662234
Mongolia,MNG,1963,0.469244831
Morocco,MAR,1963,14.89895595
Mozambique,MOZ,1963,3.121900354
Myanmar,MMR,1963,15.17887199
Namibia,NAM,1963,0.778583488
Nepal,NPL,1963,12.6993007
Netherlands,NLD,1963,28.11018957
New Caledonia,NCL,1963,0.382932166
New Zealand,NZL,1963,11.33644753
